year,Quarter,M3(quarterly),gdp
1987,Q1,270672,264966
1987,Q2,280330,269702
1987,Q3,289947,272205
1987,Q4,300963,276199
1988,Q1,313310,282910
1988,Q2,324255,286114
1988,Q3,340566,291209
1988,Q4,351685,292929
1989,Q1,367954,297391
1989,Q2,390426,299952
1989,Q3,404795,301273
1989,Q4,421956,303257
1990,Q1,438878,303558
1990,Q2,449765,303849
1990,Q3,458559,305893
1990,Q4,464543,307471
1991,Q1,470610,304257
1991,Q2,474624,303210
1991,Q3,476737,302325
1991,Q4,478969,301943
1992,Q1,486424,301285
1992,Q2,487244,301811
1992,Q3,492417,301831
1992,Q4,496549,301474
1993,Q1,500153,303395
1993,Q2,503864,305506
1993,Q3,509955,307712
1993,Q4,522208,309236
1994,Q1,530427,311683
1994,Q2,533757,313765
1994,Q3,539568,317468
1994,Q4,546468,321166
1995,Q1,562092,324811
1995,Q2,570628,326734
1995,Q3,588185,328056
1995,Q4,616773,329292
1996,Q1,645168,332436
1996,Q2,664120,333055
1996,Q3,682819,334982
1996,Q4,698400,336145
1997,Q1,726480,340034
1997,Q2,753125,344637
1997,Q3,729379,351195
1997,Q4,773433,354286
1998,Q1,789330,356780
1998,Q2,807696,360993
1998,Q3,825327,364276
1998,Q4,835137,367660
1999,Q1,829405,370263
1999,Q2,836295,373826
1999,Q3,837497,376026
1999,Q4,852983,376682
2000,Q1,881585,383148
2000,Q2,912924,388806
2000,Q3,917063,391937
2000,Q4,949685,394312
2001,Q1,978691,395469
2001,Q2,988287,396403
2001,Q3,1014607,401021
2001,Q4,1036354,404118
2002,Q1,1034948,407236
2002,Q2,1040818,408833
2002,Q3,1063017,410434
2002,Q4,1076729,412445
2003,Q1,1083972,415187
2003,Q2,1106281,418465
2003,Q3,1128107,421580
2003,Q4,1166891,425428
2004,Q1,1199462,430274
2004,Q2,1226162,434277
2004,Q3,1239263,435802
2004,Q4,1273823,437406
2005,Q1,1304399,438191
2005,Q2,1349189,439291
2005,Q3,1388366,442793
2005,Q4,1434813,447996
2006,Q1,1489682,452721
2006,Q2,1512239,458925
2006,Q3,1567860,461059
2006,Q4,1621192,462305
2007,Q1,1665609,462734
2007,Q2,1733723,464891
2007,Q3,1781868,469274
2007,Q4,1825820,471920
2008,Q1,1932753,475530
2008,Q2,1954584,477958
2008,Q3,1978518,480523
2008,Q4,2149909,477834
2009,Q1,2181971,470368
2009,Q2,2140174,460676
2009,Q3,2191647,452896
2009,Q4,2206655,452036
2010,Q1,2405652,452595
2010,Q2,2373873,454145
2010,Q3,2362938,457058
2010,Q4,2326371,461765
2011,Q1,2349567,465134
2011,Q2,2340833,465290
2011,Q3,2338680,466970
2011,Q4,2268881,467370
2012,Q1,2271423,468942
2012,Q2,2285057,469556
2012,Q3,2301618,472809
2012,Q4,2332162,472114
2013,Q1,2370020,477869
2013,Q2,2403259,476834
2013,Q3,2395279,479357
2013,Q4,2372881,483211
2014,Q1,2376265,487728
2014,Q2,2364685,490859
2014,Q3,2368424,494629
2014,Q4,2366303,497849
2015,Q1,2372027,500658
2015,Q2,2355962,503589
2015,Q3,2372991,506314
2015,Q4,2400591,510095
2016,Q1,2448868,512070
2016,Q2,2539560,515430
2016,Q3,2604627,516456
2016,Q4,2636042,518794
2017,Q1,2712409,520379
2017,Q2,2733347,523484
2017,Q3,2786712,526081
2017,Q4,2802510,527622
2018,Q1,2793109,529856
2018,Q2,2826808,531737
2018,Q3,2851623,532104
2018,Q4,2909043,534140
2019,Q1,2856225,537326
2019,Q2,2874129,538222
2019,Q3,2883874,541195
2019,Q4,2895908,541944
2020,Q1,3096762,544639
2020,Q2,3178926,544733
2020,Q3,3213129,529223
2020,Q4,3263453,426197
