gdp,year,quarter
,1955,Q1
,1955,Q2
116532,1955,Q3
116637,1955,Q4
118997,1956,Q1
118351,1956,Q2
119735,1956,Q3
119475,1956,Q4
119357,1957,Q1
119891,1957,Q2
122290,1957,Q3
122303,1957,Q4
121553,1958,Q1
121774,1958,Q2
124411,1958,Q3
121520,1958,Q4
124197,1959,Q1
124341,1959,Q2
125143,1959,Q3
127218,1959,Q4
129949,1960,Q1
133277,1960,Q2
136599,1960,Q3
135553,1960,Q4
137604,1961,Q1
138426,1961,Q2
140702,1961,Q3
141275,1961,Q4
140555,1962,Q1
140311,1962,Q2
140941,1962,Q3
142246,1962,Q4
143137,1963,Q1
142573,1963,Q2
143171,1963,Q3
149459,1963,Q4
150182,1964,Q1
153587,1964,Q2
154560,1964,Q3
157401,1964,Q4
158019,1965,Q1
160431,1965,Q2
159955,1965,Q3
160049,1965,Q4
161365,1966,Q1
162354,1966,Q2
162611,1966,Q3
163584,1966,Q4
164093,1967,Q1
163406,1967,Q2
165604,1967,Q3
167950,1967,Q4
168685,1968,Q1
169526,1968,Q2
175742,1968,Q3
175014,1968,Q4
178468,1969,Q1
179160,1969,Q2
178747,1969,Q3
180122,1969,Q4
181119,1970,Q1
181982,1970,Q2
180827,1970,Q3
185094,1970,Q4
186934,1971,Q1
188565,1971,Q2
187635,1971,Q3
190988,1971,Q4
194393,1972,Q1
195143,1972,Q2
195374,1972,Q3
200521,1972,Q4
201060,1973,Q1
204205,1973,Q2
214333,1973,Q3
214628,1973,Q4
212585,1974,Q1
211665,1974,Q2
205849,1974,Q3
208808,1974,Q4
210128,1975,Q1
207038,1975,Q2
207156,1975,Q3
203755,1975,Q4
203060,1976,Q1
205390,1976,Q2
208792,1976,Q3
208498,1976,Q4
211146,1977,Q1
215617,1977,Q2
215667,1977,Q3
214117,1977,Q4
215574,1978,Q1
219248,1978,Q2
221203,1978,Q3
223770,1978,Q4
226852,1979,Q1
228903,1979,Q2
228088,1979,Q3
238126,1979,Q4
232811,1980,Q1
235228,1980,Q2
232982,1980,Q3
228337,1980,Q4
228108,1981,Q1
225615,1981,Q2
225484,1981,Q3
226006,1981,Q4
228469,1982,Q1
228748,1982,Q2
229165,1982,Q3
231570,1982,Q4
232134,1983,Q1
233752,1983,Q2
238082,1983,Q3
240053,1983,Q4
242654,1984,Q1
244720,1984,Q2
246424,1984,Q3
244265,1984,Q4
245827,1985,Q1
250650,1985,Q2
252649,1985,Q3
258038,1985,Q4
258279,1986,Q1
258907,1986,Q2
261820,1986,Q3
263767,1986,Q4
264966,1987,Q1
269702,1987,Q2
272205,1987,Q3
276199,1987,Q4
282910,1988,Q1
286114,1988,Q2
291209,1988,Q3
292929,1988,Q4
297391,1989,Q1
299952,1989,Q2
301273,1989,Q3
303257,1989,Q4
303558,1990,Q1
303849,1990,Q2
305893,1990,Q3
307471,1990,Q4
304257,1991,Q1
303210,1991,Q2
302325,1991,Q3
301943,1991,Q4
301285,1992,Q1
301811,1992,Q2
301831,1992,Q3
301474,1992,Q4
303395,1993,Q1
305506,1993,Q2
307712,1993,Q3
309236,1993,Q4
311683,1994,Q1
313765,1994,Q2
317468,1994,Q3
321166,1994,Q4
324811,1995,Q1
326734,1995,Q2
328056,1995,Q3
329292,1995,Q4
332436,1996,Q1
333055,1996,Q2
334982,1996,Q3
336145,1996,Q4
340034,1997,Q1
344637,1997,Q2
351195,1997,Q3
354286,1997,Q4
356780,1998,Q1
360993,1998,Q2
364276,1998,Q3
367660,1998,Q4
370263,1999,Q1
373826,1999,Q2
376026,1999,Q3
376682,1999,Q4
383148,2000,Q1
388806,2000,Q2
391937,2000,Q3
394312,2000,Q4
395469,2001,Q1
396403,2001,Q2
401021,2001,Q3
404118,2001,Q4
407236,2002,Q1
408833,2002,Q2
410434,2002,Q3
412445,2002,Q4
415187,2003,Q1
418465,2003,Q2
421580,2003,Q3
425428,2003,Q4
430274,2004,Q1
434277,2004,Q2
435802,2004,Q3
437406,2004,Q4
438191,2005,Q1
439291,2005,Q2
442793,2005,Q3
447996,2005,Q4
452721,2006,Q1
458925,2006,Q2
461059,2006,Q3
462305,2006,Q4
462734,2007,Q1
464891,2007,Q2
469274,2007,Q3
471920,2007,Q4
475530,2008,Q1
477958,2008,Q2
480523,2008,Q3
477834,2008,Q4
470368,2009,Q1
460676,2009,Q2
452896,2009,Q3
452036,2009,Q4
452595,2010,Q1
454145,2010,Q2
457058,2010,Q3
461765,2010,Q4
465134,2011,Q1
465290,2011,Q2
466970,2011,Q3
467370,2011,Q4
468942,2012,Q1
469556,2012,Q2
472809,2012,Q3
472114,2012,Q4
477869,2013,Q1
476834,2013,Q2
479357,2013,Q3
483211,2013,Q4
487728,2014,Q1
490859,2014,Q2
494629,2014,Q3
497849,2014,Q4
500658,2015,Q1
503589,2015,Q2
506314,2015,Q3
510095,2015,Q4
512070,2016,Q1
515430,2016,Q2
516456,2016,Q3
518794,2016,Q4
520379,2017,Q1
523484,2017,Q2
526081,2017,Q3
527622,2017,Q4
529856,2018,Q1
531737,2018,Q2
532104,2018,Q3
534140,2018,Q4
537326,2019,Q1
538222,2019,Q2
541195,2019,Q3
541944,2019,Q4
544639,2020,Q1
544733,2020,Q2
529223,2020,Q3
426197,2020,Q4
498429,2021*,Q1
504742,,Q4 2020
497145,,Q1 2021*
